INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,251213,153010,58.9142528N,17.9439569E,30,1.8,98
2,T,251213,153011,58.9142520N,17.9439628E,30,1.8,85
3,T,251213,153012,58.9142518N,17.9439754E,30,2.2,91
4,T,251213,153013,58.9142515N,17.9439904E,30,1.8,91
5,T,251213,153018,58.9142510N,17.9440084E,30,1.8,93
6,T,251213,153019,58.9142508N,17.9440163E,30,2.0,82
7,T,251213,153020,58.9142510N,17.9440287E,30,2.2,96
8,T,251213,153021,58.9142514N,17.9440435E,30,2.5,93
9,T,251213,153022,58.9142512N,17.9440610E,30,2.9,99
10,T,251213,153023,58.9142479N,17.9440813E,30,3.3,103
11,T,251213,153024,58.9142440N,17.9441047E,30,3.7,95
12,T,251213,153025,58.9142389N,17.9441277E,30,3.8,95
13,T,251213,153026,58.9142359N,17.9441502E,30,3.1,95
14,T,251213,153032,58.9142358N,17.9441809E,30,1.2,115
15,T,251213,153033,58.9142389N,17.9441888E,29,1.4,57
16,T,251213,153034,58.9142439N,17.9441987E,29,2.2,70
17,T,251213,153035,58.9142496N,17.9442142E,29,2.9,103
18,T,251213,153036,58.9142546N,17.9442325E,29,3.3,80
19,T,251213,153037,58.9142602N,17.9442512E,29,2.9,80
20,T,251213,153040,58.9142782N,17.9442907E,29,1.4,77
21,T,251213,153041,58.9142776N,17.9443086E,28,1.4,81
22,T,251213,153042,58.9142758N,17.9443287E,28,1.2,96
23,T,251213,153049,58.9142616N,17.9444048E,28,1.1,86
24,T,251213,153050,58.9142613N,17.9444122E,28,2.0,99
25,T,251213,153051,58.9142593N,17.9444224E,28,2.4,101
26,T,251213,153052,58.9142547N,17.9444402E,28,3.1,125
27,T,251213,153053,58.9142488N,17.9444609E,27,4.0,137
28,T,251213,153054,58.9142352N,17.9444775E,27,5.1,182
29,T,251213,153055,58.9142159N,17.9444810E,27,6.4,182
30,T,251213,153056,58.9141850N,17.9444798E,27,8.7,182
31,T,251213,153057,58.9141467N,17.9444733E,27,10.7,184
32,T,251213,153058,58.9140990N,17.9444695E,27,12.7,180
33,T,251213,153059,58.9140434N,17.9444606E,27,23.5,181
34,T,251213,153100,58.9139841N,17.9444551E,30,25.3,181
35,T,251213,153101,58.9139189N,17.9444504E,30,26.4,182
36,T,251213,153102,58.9138511N,17.9444458E,30,26.8,184
37,T,251213,153103,58.9137052N,17.9444228E,29,27.2,184
38,T,251213,153104,58.9136290N,17.9444131E,29,27.4,183
39,T,251213,153105,58.9135575N,17.9443973E,29,27.4,183
40,T,251213,153106,58.9134914N,17.9443922E,29,27.2,183
41,T,251213,153107,58.9134260N,17.9443830E,29,26.6,182
42,T,251213,153108,58.9133647N,17.9443751E,29,26.1,183
43,T,251213,153109,58.9133018N,17.9443653E,29,25.5,183
44,T,251213,153110,58.9132410N,17.9443635E,29,25.0,183
45,T,251213,153111,58.9131816N,17.9443510E,29,24.2,183
46,T,251213,153112,58.9131262N,17.9443465E,29,23.7,183
47,T,251213,153113,58.9130681N,17.9443397E,29,23.5,183
48,T,251213,153114,58.9130121N,17.9443331E,29,22.9,184
49,T,251213,153115,58.9129567N,17.9443289E,28,22.4,184
50,T,251213,153116,58.9128981N,17.9443223E,28,22.5,183
51,T,251213,153117,58.9128452N,17.9443176E,28,22.0,180
52,T,251213,153118,58.9127840N,17.9443105E,28,22.0,182
53,T,251213,153119,58.9127290N,17.9443018E,28,21.4,182
54,T,251213,153120,58.9126788N,17.9442957E,28,21.1,183
55,T,251213,153121,58.9126298N,17.9442921E,28,20.7,183
56,T,251213,153122,58.9125847N,17.9442886E,28,20.1,183
57,T,251213,153123,58.9125366N,17.9442803E,27,19.6,183
58,T,251213,153124,58.9124904N,17.9442750E,27,19.2,183
59,T,251213,153125,58.9124430N,17.9442622E,26,18.8,183
60,T,251213,153126,58.9123892N,17.9442592E,26,19.2,181
61,T,251213,153127,58.9123378N,17.9442536E,26,19.4,181
62,T,251213,153128,58.9122843N,17.9442499E,27,20.3,180
63,T,251213,153129,58.9122275N,17.9442486E,26,20.9,179
64,T,251213,153130,58.9121747N,17.9442499E,26,20.5,177
